Transport_Protocol,Duration,AvgDuration,PBS,AvgPBS,TBS,PBR,AvgPBR,TBR,Missed_Bytes,Packets_Sent,Packets_Received,SRPR,class
1,4.28,6.039027778,1174,856.8333333,1894,11862,27450.72222,12462,0,18,15,0.833333333,0
1,3,1.5,0,0,192,0,0,0,0,4,0,0,1
1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
1,2.96,2.021923077,0,0,96,0,0,0,0,2,0,0,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
1,1.29,1.8345,90,93.9,298,534,507.3,702,0,5,4,0.8,1
2,0.02,0.839704755,64,106.0653595,120,92,392.7018256,120,0,2,1,0.5,1
1,0.81,0.904045894,245,243.5615942,773,9112,9547.653986,9536,245,10,8,0.8,1
1,3.77,31.41504798,0,356.4587332,120,0,28422.38964,0,0,3,0,0,0
1,0,0,0,0,96,0,0,0,0,2,0,0,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
1,11.24,11.88387179,1353,1344.276068,2801,20153,20046.64188,43442,0,36,78,2.166666667,1
1,0.42,0.380253623,0,0,60,0,0,80,0,1,2,2,1
2,4.48,3.239224806,142,183.9263566,254,1918,4273.112403,2142,0,4,8,2,0
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
1,2.99,4.03748503,0,76.5988024,100,0,3832.91018,0,0,2,0,0,0
1,2.96,5.128403869,158,32.81559855,374,0,0,168,0,5,4,0.8,1
1,0.58,7,0,148.6992481,88,0,19616.79699,44,0,2,1,0.5,0
1,1.01,2.276900826,0,81.12396694,240,11247,15930.2314,11647,0,6,10,1.666666667,0
1,0.36,0.413057065,206,192.7608696,474,1317,1185.293478,1585,1523,5,5,1,1
1,3.1,5.128403869,0,32.81559855,96,0,0,0,0,2,0,0,1
1,19.11,22.0951087,510,536.5,1436,196,22127.52174,324,0,10,3,0.3,1
1,0.16,0.16,1047,1047,1495,188,188,716,0,11,13,1.181818182,0
1,0,1.493769231,0,0,96,0,0,0,0,2,0,0,1
1,1.5,3.194444444,100,106.3333333,348,4203,3207.333333,4411,0,6,5,0.833333333,0
1,3,3.000916031,0,0,120,0,0,0,0,2,0,0,1
1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
2,7.66,13.43875,25,43.75,53,2,60.5,30,0,1,1,1,0
2,48.78,45.11333333,6,6.333333333,90,125,100,265,0,3,5,1.666666667,0
1,0.23,0.330762916,118,149.8961854,386,1166,1257.438918,1434,1284,5,5,1,1
2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
2,0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0,1
1,0.99,3.870909091,125,673.7272727,733,29229,33262.02273,30193,0,15,24,1.6,1
1,3,1.39,0,0,96,0,0,0,0,2,0,0,1
1,10.66,31.41504798,520,356.4587332,1048,18922,28422.38964,19686,0,13,19,1.461538462,1
2,14.38,8.59,50,40.38461538,106,6,2.923076923,90,0,2,3,1.5,0
2,0.95,0.218568665,47,48.01844964,75,115,234.3900461,143,0,1,1,1,1
2,33.17,27.31666667,79,71.33333333,219,81,72,249,0,5,6,1.2,0
1,10.85,3.380714286,183,47.53571429,711,17064,5075.464286,17824,0,13,19,1.461538462,1
1,6.69,2.330833333,76,64.05555556,1844,111265,10010.94444,114473,0,44,80,1.818181818,0
1,103.65,25.17806061,180,130.3636364,1348,56250,24447.21818,58014,0,29,44,1.517241379,1
1,2.35,0.824285714,68,107.6428571,548,23214,29252.42857,23978,0,12,19,1.583333333,0
1,0.15,2.3184375,0,85.375,80,0,5115.46875,80,0,2,2,1,1
1,0.51,0.688132184,107,103.4022989,395,5171,5261.528736,5459,0,7,7,1,0
2,0.09,0.218568665,48,48.01844964,76,201,234.3900461,229,0,1,1,1,0
1,0.02,2.937229648,39,140.1968408,367,68,3232.103281,792,0,8,16,2,1
1,0.09,0.09,1157,1157,1605,188,188,716,0,11,13,1.181818182,0
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,11.25,12.95666667,2,27,30,25,26.33333333,53,0,1,1,1,0
1,2.2,2.321315789,84,86.21052632,492,14233,13847.05263,14761,0,10,13,1.3,1
1,2.39,2.532631579,131,93.68421053,579,11172,4965.736842,11700,0,11,13,1.181818182,1
2,0,0.012398725,36,38.84084292,64,262,141.052849,0,0,1,0,0,1
2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
1,0.05,8.388461538,0,211.2307692,80,0,797.9230769,40,0,2,1,0.5,1
1,0,0,0,0,96,0,0,0,0,2,0,0,1
2,19.08,12.72833333,52,52,136,29,94.83333333,113,0,3,3,1,0
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
1,0.48,1.301702128,62,61.73758865,310,4288,12689.92908,4536,0,6,6,1,0
1,3,3,0,0,192,0,0,0,0,4,0,0,1
1,0.33,0.336666667,345,345,553,1613,1613,1817,0,5,5,1,1
1,3,3.001111111,0,0,120,0,0,0,0,2,0,0,1
2,0.25,0.25,52,52,108,134,134,162,0,2,1,0.5,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,0.16,0.725262759,26,86.91753748,54,50,189.2577616,78,0,1,1,1,0
1,2.17,17.17945591,462,1079.275797,1342,44979,48387.16135,46339,0,22,34,1.545454545,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
1,0.59,12.70285714,156,329,236,2867,27590.57143,2947,0,2,2,1,1
1,1.53,0.737964072,97,97.36327345,825,36247,7469.856287,37375,0,18,28,1.555555556,0
2,0.1,0.839704755,60,106.0653595,116,103,392.7018256,131,0,2,1,0.5,1
1,2.48,9.38839172,0,84.3566879,80,0,165839.6162,0,0,2,0,0,0
1,20.04,11.88387179,1349,1344.276068,3277,20128,20046.64188,77994,0,48,106,2.208333333,1
2,22.32,20.89,52,64.09090909,136,25,36.09090909,53,0,3,1,0.333333333,0
2,34.34,30.93,108,100.25,332,108,88.75,332,0,8,8,1,0
2,0.13,32.15214286,25,96.64285714,53,2,31,30,0,1,1,1,0
2,0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0,1
2,0.02,0.218568665,47,48.01844964,75,409,234.3900461,437,0,1,1,1,1
2,20,15.68083333,25,49.75,53,2,34.75,30,0,1,1,1,0
1,0.43,0.49625,102,100.5,310,548,3968.25,788,0,5,6,1.2,0
2,0,0.839704755,50,106.0653595,106,156,392.7018256,184,0,2,1,0.5,1
1,0,5.876666667,0,129.3333333,0,0,13382.43333,80,0,0,2,0,0
1,0.22,0.253461538,303,299.7692308,511,615,601.8333333,823,0,5,5,1,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,0.2,4.472957075,68,299.1844197,124,466,8592.470588,522,0,2,2,1,1
1,0,0,0,0,96,0,0,0,0,2,0,0,1
2,0.02,0.218568665,47,48.01844964,75,409,234.3900461,437,0,1,1,1,1
1,100.2,5.268131313,788,302.8333333,2036,48740,8930.106061,100936,0,31,86,2.774193548,0
2,0.14,0.218568665,45,48.01844964,73,155,234.3900461,183,0,1,1,1,1
1,1.88,0.609565217,65,66.56521739,273,407,404.1304348,615,0,5,5,1,1
2,55.35,32.145,150,97.5,318,12,6.6,180,0,6,6,1,0
1,0,0,0,0,96,0,0,0,0,2,0,0,1
1,0.83,0.904045894,244,243.5615942,772,9095,9547.653986,9519,244,10,8,0.8,1
2,0.3,0.218568665,42,48.01844964,70,106,234.3900461,134,0,1,1,1,1
